Funding block,address,Funding Amount[CELO],Funding Entity,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,Onmichain Balance$,eth linea base scroll zks Balance$,affinity
19806220,0xa19960039c04e7708302bdbe25d1fdf4ac3116f5,1.072,Tether : Binance,70,"['Angle' 'Angle' 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle' 'Stargate'
 'Angle' 'Angle' 'Stargate' 'Stargate' 'Angle' 'Angle' 'Harmony Bridge'
 'Holograph' 'Angle' 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle'
 'Harmony Bridge' 'Angle' 'USDV' 'Merkly' 'Angle' 'Angle' 'l2telegraph'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'Holograph' nan 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'USDV' 'Angle' nan 'Angle'
 'Angle' 'Harmony Bridge' nan 'Holograph' 'Angle' 'L2Pass' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Stargate' 'Angle']",5251.05,75.02,9,9,12,23.06,"[7.92, 0, 0, 0, 0.45]",1
19806213,0x3272e3b78347e71d5654b24091d63bf1a8f6f6db,1.092,Tether : Binance,88,"['Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'USDV' 'Angle' 'Angle'
 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Holograph'
 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Stargate' 'Merkly' 'Angle' 'Stargate' 'Angle' 'Angle' 'Stargate' 'Angle'
 'Holograph' 'Angle' 'Angle' 'Angle' 'Holograph' 'USDV' nan 'Angle'
 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Harmony Bridge'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Stargate' 'Angle'
 'Angle' 'Stargate' 'Angle' 'Merkly' 'Angle' 'Stargate' 'Harmony Bridge'
 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Merkly' 'Merkly' 'L2Pass' 'Angle' 'Angle' 'Angle' 'Harmony Bridge'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' nan 'Angle'
 'Angle' 'Angle' 'L2Pass' 'Angle' 'Angle']",5325.54,60.52,8,9,12,41.21,"[21.68, 0, 0, 0, 0.33]",1
19806173,0xeeade5a7275859a57e483393ec0766caaab5cf90,1.069,Tether : Binance,82,"['Angle' 'Angle' 'Angle' 'Holograph' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Merkly' 'Stargate' 'Angle' 'Angle' 'Harmony Bridge' 'Angle'
 'Angle' 'Angle' 'Angle' 'l2telegraph' 'Angle' 'Angle' 'Angle' 'Angle'
 'Stargate' 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly'
 'Harmony Bridge' 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly'
 'Harmony Bridge' 'Angle' nan 'Harmony Bridge' 'Holograph' 'Angle'
 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Merkly'
 'Angle' 'Angle' 'Merkly' 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Stargate' 'Angle' 'USDV' 'Merkly' 'Angle' 'Angle'
 'Harmony Bridge' 'Angle' 'Angle' 'Harmony Bridge' 'Angle' nan 'Angle'
 'Angle' 'Angle' 'Angle' 'USDV' 'Angle' 'Angle' 'Angle' 'Angle' nan]",5376.46,65.57,8,10,16,23.47,"[4.2, 0, 0, 0, 0.37]",1
19806154,0xa121eefe30403df0fd09a782eb7b5ef2942c87a5,1.074,Tether : Binance,75,"['Angle' 'Stargate' 'Angle' 'Angle' 'Angle' 'l2telegraph' 'Merkly'
 'Merkly' 'Stargate' 'Stargate' 'Angle' 'L2Pass' 'Angle' 'Angle' 'Angle'
 'Angle' 'L2Pass' 'Angle' 'Holograph' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' nan 'Angle' 'Harmony Bridge'
 'Stargate' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Stargate'
 'Harmony Bridge' 'Angle' nan 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'USDV' 'Angle' 'Angle' 'Angle'
 'Stargate' 'Angle' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle'
 'Angle' 'USDV' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Holograph' 'Angle' 'l2telegraph' 'Angle' 'Angle']",5271.38,70.29,9,10,16,42.19,"[23.21, 0, 0.0, 0, 0.54]",1
19806102,0xd9767066bbbf52a75499c761169485f74cf8721b,1.063,Tether : Binance,84,"['Stargate' 'l2telegraph' 'Stargate' 'Angle' 'Harmony Bridge' 'Angle'
 'Angle' 'Angle' 'Stargate' 'Angle' 'Harmony Bridge' 'Angle' 'Angle'
 'Angle' 'Harmony Bridge' 'Harmony Bridge' 'Stargate' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle'
 'Harmony Bridge' 'Merkly' 'USDV' 'Angle' 'Angle' 'Angle' 'Angle'
 'Holograph' nan 'Merkly' 'Angle' 'Angle' 'Angle' 'USDV' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Angle' 'Angle'
 'Angle' 'Angle' nan 'Merkly' 'Harmony Bridge' 'Harmony Bridge' 'Angle'
 'Angle' 'Angle' 'Holograph' 'Harmony Bridge' 'Angle' 'Stargate' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Holograph' 'Angle' 'Angle' 'Harmony Bridge' 'Merkly' 'Angle' 'Angle'
 'Harmony Bridge' 'Angle' 'Angle' 'Merkly']",5322.23,63.36,8,10,15,25.11,"[1.68, 0, 0, 0, 0.39]",1
19806096,0x758aeb4ff703e1affeac4b80e67dded073c6b93d,1.096,Tether : Binance,86,"['Stargate' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'Harmony Bridge'
 'Angle' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Harmony Bridge'
 'Harmony Bridge' 'Angle' 'Harmony Bridge' 'Merkly' 'Angle' 'Angle'
 'Harmony Bridge' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle'
 'Stargate' 'Angle' 'Merkly' 'L2Pass' 'Angle' 'Angle' nan 'USDV' 'Angle'
 nan 'Angle' 'Angle' 'Stargate' 'Holograph' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Holograph' 'Angle' 'USDV'
 'Angle' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Merkly' 'Stargate'
 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Harmony Bridge' 'Stargate' 'Angle' 'Stargate' 'Harmony Bridge' 'Angle'
 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle' 'Merkly' 'Holograph' 'Angle']",5374.32,62.49,8,9,14,19.31,"[0.58, 0, 0, 0, 0.36]",1
19806076,0x4877352ca9327ac47fc6265c3abaaa3116f61a6c,1.072,Tether : Binance,88,"['Merkly' 'Stargate' 'Angle' 'Harmony Bridge' 'Harmony Bridge' 'Angle'
 'Angle' 'Angle' 'Harmony Bridge' 'Merkly' 'Angle' 'Angle' 'Holograph' nan
 'Angle' 'Angle' 'Angle' 'Merkly' 'Harmony Bridge' 'Angle' 'Angle' 'Angle'
 'USDV' nan 'Angle' 'Angle' 'Merkly' 'Harmony Bridge' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle'
 'Angle' 'Angle' 'Merkly' 'Stargate' 'Angle' 'Angle' 'Merkly'
 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Merkly' 'Merkly' 'Harmony Bridge' 'Harmony Bridge' 'Angle' 'Angle'
 'Angle' 'Merkly' 'Stargate' 'Angle' 'Holograph' 'Angle' 'Merkly'
 'Stargate' 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'USDV' 'Holograph'
 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly'
 'Angle' 'Angle' 'Stargate' 'l2telegraph' 'Angle' 'Stargate']",5354.31,60.84,8,10,17,16.56,"[1.32, 0, 0, 0, 0.83]",1
19806070,0x6d24bf0c974ba2bba8f803fa101e7730e0a9c3f3,1.099,Tether : Binance,76,"['Angle' 'Angle' 'Angle' 'Stargate' 'L2Pass' 'Angle' 'Angle' 'Angle'
 'USDV' 'Angle' nan 'Merkly' 'Harmony Bridge' 'Angle' 'Angle'
 'Harmony Bridge' 'Harmony Bridge' 'Stargate' 'Stargate' 'Stargate'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'l2telegraph' 'Harmony Bridge' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'USDV' 'Angle' 'Angle' 'Angle' 'Stargate'
 'Angle' 'Angle' 'Angle' 'Merkly' 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Holograph' 'Angle' 'Angle' nan 'Angle' 'Angle' 'Angle'
 'Angle' 'Stargate' 'Holograph' 'Angle']",5333.67,70.18,9,10,16,24.25,"[9.82, 0, 0, 0, 0.35]",1
19805975,0x7452e6f475ba5694f1fc7504a2dd5798efce9ba1,1.074,Tether : Binance,80,"[nan 'Harmony Bridge' 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle' 'Angle'
 'L2Pass' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Harmony Bridge'
 'Angle' 'Angle' 'Stargate' 'Holograph' 'Angle' 'Angle' 'Angle' 'Angle'
 'l2telegraph' 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle'
 'Harmony Bridge' 'Angle' 'Angle' 'Stargate' 'Angle' 'Merkly' 'Angle'
 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'L2Pass' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'USDV' 'Angle' 'Angle' 'Angle'
 'Angle' nan 'Angle' 'Holograph' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly'
 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Stargate' 'USDV'
 'Merkly' 'Harmony Bridge' nan 'Angle' 'Angle' 'Angle' 'Angle'
 'Harmony Bridge']",5332.59,66.66,9,10,15,16.31,"[2.02, 0, 0, 0, 0.44]",1
19805731,0x0a443225f7ef7b602cbd42b01e767a702340e25e,1.044,Tether : Binance,88,"['Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Stargate' 'Angle' 'Angle'
 'Angle' 'Angle' 'Merkly' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle'
 'Angle' 'Stargate' 'Angle' 'Stargate' 'Angle' 'Angle' 'Angle' 'Stargate'
 'Merkly' 'Angle' 'USDV' 'Angle' 'Harmony Bridge' 'Angle' 'Angle' 'Angle'
 'Harmony Bridge' 'Harmony Bridge' 'Angle' 'Angle' 'Harmony Bridge'
 'Angle' 'Angle' 'l2telegraph' 'Harmony Bridge' 'L2Pass' 'Angle' 'Merkly'
 'Angle' 'Angle' 'Holograph' 'Stargate' 'Holograph' 'Angle'
 'Harmony Bridge' 'Angle' 'Merkly' 'Harmony Bridge' 'Angle' nan
 'Harmony Bridge' 'Angle' nan 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Stargate' 'Angle' 'Angle' 'Holograph' 'Angle' nan 'USDV' 'Merkly'
 'Angle' 'Angle' 'Angle' 'Harmony Bridge' 'Harmony Bridge'
 'Harmony Bridge' 'Angle' 'Angle' 'l2telegraph' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle']",5283.51,60.04,9,10,16,15.92,"[1.37, 0, 0, 0, 0.42]",1
